id,produkt,kategorie,bewertung_text,sterne,autor,datum,hilfreich
1,Bluetooth Kopfhörer,Elektronik,Super Klangqualität und der Preis ist wirklich günstig. Kann ich nur empfehlen!,5,MaxMustermann,2025-01-15,12
2,Smartphone Hülle,Elektronik,Passt perfekt und schützt das Handy gut. Qualität ist top.,4,AnnaK,2025-01-18,5
3,USB-C Kabel,Elektronik, Die Lieferung war schnell aber das Kabel ist nach 2 Wochen kaputt gegangen. ,2,TechFan42,2025-01-20,8
4,Laptop Ständer,Elektronik,Hochwertige Verarbeitung und stabiler Stand. Perfekt fürs Homeoffice.,5,BüroHeld,2025-01-22,15
5,Wireless Maus,Elektronik,Ganz okay für den Preis. Die Batterie hält leider nicht so lange.,3,PeterP,2025-01-25,3
6,Tablet Halterung,Elektronik,Enttäuscht! Die Qualität ist schlecht und das Material fühlt sich billig an.,1,KritischerKunde,2025-01-28,20
7,Powerbank,Elektronik,Tolle Powerbank mit viel Kapazität. Lieferung kam pünktlich.,4,ReiseFan,2025-02-01,7
8,HDMI Adapter,Elektronik,Funktioniert einwandfrei. Guter Preis für die Qualität.,4,HomeOffice99,2025-02-03,2
9,Gaming Tastatur,Elektronik,Die Tastatur ist super! Tolles Tippgefühl und schöne Beleuchtung.,5,GamerMax,2025-02-05,11
10,Webcam HD,Elektronik,Bildqualität könnte besser sein. Für den Preis aber akzeptabel.,3,VideoCall,2025-02-08,4
11,Smartwatch,Elektronik,Perfekt! Genau was ich gesucht habe. Akku hält 5 Tage.,5,SportyAnna,2025-02-10,18
12,Kopfhörer Adapter,Elektronik,Verpackung war beschädigt aber das Produkt funktioniert gut.,3,MusikLiebhaber,2025-02-12,1
13,Monitor Kabel,Elektronik,Schnelle Lieferung und gute Qualität. Empfehlenswert.,4,OfficeWorker,2025-02-15,6
14,USB Hub,Elektronik,Teuer für das was man bekommt. Es gibt bessere Alternativen.,2,SparFuchs,2025-02-18,9
15,Bluetooth Lautsprecher,Elektronik, Super Sound und tolles Design. Preis-Leistung stimmt! ,5,PartyMaster,2025-02-20,14
16,SD Karte,Elektronik,Funktioniert wie  erwartet. Keine Beschwerden.,4,FotoFreund,2025-02-22,0
17,Kamera Stativ,Elektronik,Die Qualität ist hochwertig und der Versand war blitzschnell.,5,FotoPro,2025-02-25,8
18,E-Book Reader,Elektronik,Gutes Gerät aber die Lieferung hat viel zu lange gedauert.,3,LeseRatte,2025-02-28,5
19,Ladegerät,Elektronik,Kaputt nach einem Monat. Sehr enttäuschend für diesen Preis.,1,UnzufriedenMax,2025-03-02,22
20,Externe Festplatte,Elektronik,Viel Speicherplatz zum günstigen Preis. Schnelle Datenübertragung.,4,DatenSammler,2025-03-05,7
